Sold Price,Price Unit,Date,Address,Bedroom,Category,Unit Size,Previous Price,Status,Sold By,Gross Rental,Last Rental Amount
1.2MAED,AED,"02 - April , 2025","Diamondz By Danube, Al Thanyah Fifth",Studio,Apartment,419 sqft,-,Offplan,Developer (1Time),-,-
2.6MAED,AED,"02 - April , 2025","Diamondz By Danube, Al Thanyah Fifth",2 Beds,Apartment,"1,107 sqft",-,Offplan,Developer (1Time),-,-
1.8MAED,AED,"02 - April , 2025","Diamondz By Danube, Al Thanyah Fifth",1 Bed,Apartment,746 sqft,-,Offplan,Developer (1Time),-,-
1.2MAED,AED,"02 - April , 2025","Diamondz By Danube, Al Thanyah Fifth",Studio,Apartment,419 sqft,-,Offplan,Developer (1Time),-,-
1.1MAED,AED,"02 - April , 2025","Diamondz By Danube, Al Thanyah Fifth",Studio,Apartment,419 sqft,-,Offplan,Developer (1Time),-,-
1.9MAED,AED,"02 - April , 2025","Diamondz By Danube, Al Thanyah Fifth",1 Bed,Apartment,746 sqft,-,Offplan,Developer (1Time),-,-
1.1MAED,AED,"02 - April , 2025","Diamondz By Danube, Al Thanyah Fifth",Studio,Apartment,419 sqft,-,Offplan,Developer (1Time),-,-
1.7MAED,AED,"02 - April , 2025","Diamondz By Danube, Al Thanyah Fifth",1 Bed,Apartment,751 sqft,-,Offplan,Developer (1Time),-,-
1.9MAED,AED,"02 - April , 2025","Diamondz By Danube, Al Thanyah Fifth",1 Bed,Apartment,745 sqft,-,Offplan,Developer (1Time),-,-
1.3MAED,AED,"02 - April , 2025","Diamondz By Danube, Al Thanyah Fifth",Studio,Apartment,472 sqft,-,Offplan,Developer (1Time),-,-
2.6MAED,AED,"02 - April , 2025","Diamondz By Danube, Al Thanyah Fifth",2 Beds,Apartment,"1,107 sqft",-,Offplan,Developer (1Time),-,-
2.7MAED,AED,"02 - April , 2025","Diamondz By Danube, Al Thanyah Fifth",2 Beds,Apartment,"1,270 sqft",-,Offplan,Developer (1Time),-,-
3.9MAED,AED,"02 - April , 2025","Signature Lifestyle Residences, Al Thanyah Fifth",2 Beds,Apartment,"1,572 sqft",-,Offplan,Developer (1Time),-,-
1.1MAED,AED,"02 - April , 2025","Goldcrest Executive, Jumeirah Lake Towers (Jlt)",1 Bed,Apartment,639 sqft,-,Ready,Individual (1Time),11.92%,"80,000 AED"
2.4MAED,AED,"02 - April , 2025","Mbl Residence, Jumeirah Lake Towers (Jlt)",2 Beds,Apartment,"1,337 sqft",-,Ready,Individual (1Time),4.32%,"130,000 AED"
2.4MAED,AED,"02 - April , 2025","Mbl Residence, Jumeirah Lake Towers (Jlt)",2 Beds,Apartment,"1,337 sqft",-,Ready,Individual (1Time),9.69%,"155,000 AED"
2.7MAED,AED,"31 - March , 2025","Verde By Sobha, Jumeirah Lake Towers (JLT)",2 Beds,Apartment,"1,420 sqft",-,Offplan,Developer (1Time),-,-
1.1MAED,AED,"29 - March , 2025","Diamondz By Danube, Al Thanyah Fifth",Studio,Apartment,419 sqft,-,Offplan,Developer (1Time),-,-
1.2MAED,AED,"29 - March , 2025","Diamondz By Danube, Al Thanyah Fifth",Studio,Apartment,419 sqft,-,Offplan,Developer (1Time),-,-
1.1MAED,AED,"29 - March , 2025","Diamondz By Danube, Al Thanyah Fifth",Studio,Apartment,419 sqft,-,Offplan,Developer (1Time),-,-
2.2MAED,AED,"29 - March , 2025","Saba 4, Al Thanyah Fifth",1 Bed,Apartment,971 sqft,-,Offplan,Developer (1Time),-,-
2.6MAED,AED,"28 - March , 2025","Diamondz By Danube, Al Thanyah Fifth",2 Beds,Apartment,"1,107 sqft",-,Offplan,Developer (1Time),-,-
2.4MAED,AED,"28 - March , 2025","Uh West By Ellington, Jumeirah Lake Towers (JLT)",2 Beds,Apartment,"1,202 sqft",2.2M,Offplan,Individual (1Time),-,-
